epoch,accuracy,loss,val_accuracy,val_loss
0,0.8953844308853149,1.9374065399169922,0.9870097637176514,1.3663966655731201
1,0.99186110496521,1.112160086631775,0.9934552907943726,0.8772072196006775
2,0.9956648945808411,0.7123498320579529,0.9952898025512695,0.5634559988975525
3,0.9965149164199829,0.4609391689300537,0.9962318539619446,0.37048155069351196
4,0.9971737265586853,0.3082719147205353,0.9965789318084717,0.2546154260635376
5,0.9974287152290344,0.21657264232635498,0.9965789318084717,0.18507078289985657
6,0.9976199865341187,0.16106389462947845,0.9970251321792603,0.1424253135919571
7,0.9976624846458435,0.12697723507881165,0.9965293407440186,0.11601205915212631
8,0.9976412057876587,0.10533665120601654,0.9969755411148071,0.0986483246088028
9,0.9977474808692932,0.0910784900188446,0.997223436832428,0.08736949414014816
10,0.9978111982345581,0.08137105405330658,0.9969755411148071,0.07893088459968567
11,0.997853696346283,0.07422523945569992,0.9970747232437134,0.07328625023365021
12,0.9980236887931824,0.06972844898700714,0.9972730278968811,0.06867869943380356
13,0.9980024695396423,0.06526107341051102,0.9973722100257874,0.06530729681253433
14,0.9978324770927429,0.062331974506378174,0.997223436832428,0.06252646446228027
15,0.9980024695396423,0.059820547699928284,0.9970747232437134,0.060571007430553436
16,0.9979599714279175,0.05773698911070824,0.9973722100257874,0.05798802897334099
17,0.9980236887931824,0.05593236908316612,0.9974713921546936,0.05629914253950119
18,0.9981724619865417,0.05392798036336899,0.9973722100257874,0.05502506345510483
19,0.9981299638748169,0.05236208438873291,0.9976201057434082,0.05322674289345741
